tract,state,county,avg_lat,avg_long,primary_ruca,perc_insured,total_pop,pop_density,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hawaii_pacific_race,other_race,multiple_races,hispanic_latino,ed_less_than_hs,ed_hs_grad,ed_college_plus,median_income,below_poverty,prov_count,prov_density
37019020504,NC,Brunswick County,,,1,94.8,1660,360.869565217391,1.96,12.5,66.9,48.0,91.1,7.8,0.0,0.2,0.0,0.9,0.0,2.8,4.2,28.7,67.1,26589.0,7.8,0,0
37019020505,NC,Brunswick County,,,2,74.6,4444,62.1538461538462,2.72,10.9,36.3,50.7,63.1,29.9,0.4,0.8,0.0,2.9,2.8,5.8,18.5,40.8,40.8,17094.0,30.9,0,0
37019020506,NC,Brunswick County,33.96366453,-78.40643109,1,80.1,4798,330.896551724138,2.56,11.1,49.9,43.1,88.4,10.9,0.1,0.1,0.0,0.0,0.5,5.4,15.8,33.7,50.5,22090.0,18.3,4,0.833680700291788
37019020507,NC,Brunswick County,33.922146,-78.555016,1,91.4,6498,730.112359550562,2.0,9.5,63.3,48.0,93.9,4.1,0.2,0.5,0.0,0.0,1.2,1.0,10.6,30.9,58.5,26415.0,5.1,1,0.15389350569406
37019020508,NC,Brunswick County,,,1,95.1,2317,163.169014084507,1.84,12.8,66.8,48.4,96.4,3.2,0.0,0.0,0.0,0.0,0.4,2.1,6.7,19.6,73.7,33516.0,2.1,0,0
37019020509,NC,Brunswick County,,,1,84.1,4585,378.925619834711,2.16,15.6,61.9,47.8,95.6,3.4,0.2,0.4,0.4,0.0,0.0,6.7,4.8,26.6,68.7,27388.0,19.7,0,0
37019020510,NC,Brunswick County,,,1,82.1,1751,833.809523809524,2.01,6.2,51.0,44.3,91.8,0.0,0.0,0.0,0.0,5.4,2.9,13.8,18.4,25.6,56.0,21176.0,18.7,0,0
37019020511,NC,Brunswick County,,,1,79.4,2383,595.75,2.0,8.7,61.2,50.9,94.8,0.0,0.8,0.0,0.0,4.5,0.0,7.7,11.3,29.2,59.5,26198.0,9.0,0,0
37019020512,NC,Brunswick County,,,1,93.1,882,147.0,2.01,6.7,63.1,47.2,99.2,0.0,0.1,0.7,0.0,0.0,0.0,4.5,1.9,16.8,81.4,33125.0,7.8,0,0
37019020601,NC,Brunswick County,34.01101,-78.29105,2,84.0,4933,33.0851777330651,2.58,10.3,39.6,50.2,72.6,17.5,0.2,0.8,0.1,2.9,5.9,6.8,18.6,39.7,41.7,17403.0,15.9,1,0.20271639975674
37019020602,NC,Brunswick County,34.10376185,-78.19526075,2,79.2,5449,29.7922361946419,2.47,16.9,45.1,49.4,78.3,19.9,0.7,0.0,0.0,0.0,1.1,2.4,18.1,32.5,49.4,20306.0,17.9,2,0.367039823820885
37019020603,NC,Brunswick County,34.0585111,-78.1650221,10,83.9,2912,95.4754098360656,2.57,18.4,42.2,51.7,62.1,30.3,0.2,0.8,0.0,3.2,3.5,5.9,17.6,35.4,46.9,18509.0,28.7,1,0.343406593406593
37019990100,NC,Brunswick County,,,10,,0,,,,,,,,,,,,,,,,0,,,0,0
37021000100,NC,Buncombe County,35.5939522894118,-82.5542274623529,1,88.0,1469,3672.5,1.33,8.6,51.2,61.1,83.9,11.2,0.8,1.8,0.0,0.5,1.8,3.9,11.3,23.2,65.6,17453.0,26.7,17,11.572498298162
