county,perc_insured,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hispanic_latino,poor_english,ed_hs_plus,ed_college_plus,median_income,below_poverty,lat,lon,prov_density
48399,82.6,2.69,4.6,41.8,49.8,91,1.4,0.5,1.3,33.5,3.5,78.8,42.5,21919,17.8,31.845119,-99.982715,0
48401,79.2,2.72,5.9,38.4,52.4,79.1,17.3,0.3,0.5,15.9,5.3,79.3,47.2,22632,16.5,32.109423,-94.756382,0.037596105
48403,77.9,2.79,8.3,50.6,49.5,90,7.1,0.1,0.2,3.8,0.6,85.3,40.5,19520,23.2,31.3433,-93.851913,0
48405,78.7,2.79,14.1,47.9,48.8,74.1,21.7,1.9,0.1,6.7,2,80.5,37.1,17730,26.6,31.382449,-94.16318,0
48407,80.3,2.81,7.4,43.4,48.8,86.3,10.5,0.6,0.7,12.3,4.2,82.8,37.2,22517,17.2,30.574388,-95.163136,0
48409,80.5,2.84,5.3,35.3,50.1,92.1,1.9,0.6,1,56.1,9.1,78.2,46.6,25639,14.3,28.011794,-97.517157,0.059964621
48411,80.4,2.45,3.9,41,52.3,89.6,3.4,0,0.3,29.2,12.2,74.4,42.7,17954,18,31.155138,-98.819292,0
48413,77.7,2.91,4.6,35.9,50.9,68.4,0.3,0,0.2,51,9.6,76.3,51.7,22387,13.2,30.896233,-100.527216,0
48415,85.2,2.62,4.3,35.4,54,87.6,4.7,0.6,0.3,39.2,6.3,80.7,47.8,24853,8.1,32.744353,-100.913346,0
48417,82.3,2.51,4.9,41.8,49.8,94,0.2,0,0.2,11.5,2.1,84.5,55.3,26443,18.5,32.74382,-99.347005,0
48419,75.2,2.8,9.6,37.1,49.1,79.5,17.9,0.1,1.4,17.6,6.8,75.3,39.7,20927,22.8,31.790139,-94.142579,0.038902937
48421,76.3,2.98,1,37.9,52.4,92.1,0.5,0.8,0,42,13.2,74.3,48,26322,13.6,36.278593,-101.899265,0
48423,81.4,2.75,6.6,36.3,48.3,76.6,17.8,0.3,1.5,18.6,7.2,84.6,59.4,24321,17,32.375106,-95.268743,0.359507611
48425,80.5,2.58,3.5,40.7,49.2,93.6,0.5,0.7,0,19.1,7.5,82.8,52.4,25876,17.6,32.218071,-97.769217,0
48427,64.9,3.85,14.2,28.7,48.5,94.4,0.1,0.1,0.1,99,52.3,48.6,24.7,12861,37.6,26.530903,-98.740235,0
48429,77.4,2.75,6,38.5,54.1,89.6,2.5,1.9,0.4,23.3,8.2,77.2,43.4,22375,22,32.736306,-98.836119,0
48431,75.4,2.63,1.3,41.1,52.8,92.6,0.2,0,0,37.7,7.6,85.7,48.8,26076,15.5,31.835773,-101.054911,0
48433,84.5,2.35,6.9,49.6,50.2,88.2,4.9,0,0,23,3.7,79.5,39.3,22479,18.9,33.17958,-100.253807,0
48435,79.9,2.64,6.6,36.4,53.2,75.2,0.5,0.2,0,58.4,12.3,76.6,48.4,28496,9.2,30.51768,-100.50527,0
48437,83.2,2.66,5.1,35.4,51.9,83.2,5.9,2.2,0.2,42.4,6.9,80.5,43.3,19425,23.4,34.526319,-101.743865,0
48439,81.8,2.82,6,34.1,49,69.8,15.6,0.4,5,27.8,12.2,85.3,61.6,30280,14.4,32.772119,-97.291224,0.295245924
