tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
21117063701,KY,Kenton County,,,2,90.4,3091,101.344262295082,2.63,1.1,46.5,49.9,97.6,0.0,0.0,1.7,0.0,0.0,0.7,4.3,12.8,35.8,51.4,32500.0,4.3,0,0
21117063702,KY,Kenton County,,,2,91.0,4465,113.037974683544,2.99,12.2,38.3,48.0,99.6,0.0,0.0,0.1,0.0,0.0,0.3,0.2,15.4,36.6,48.0,25171.0,15.3,0,0
21117063800,KY,Kenton County,39.083244,-84.54331,1,87.1,3116,2396.92307692308,2.08,7.6,39.0,47.7,94.7,3.1,0.3,0.1,0.0,0.9,0.9,1.9,8.6,30.1,61.3,30224.0,21.0,1,0.320924261874198
21117064000,KY,Kenton County,39.05622096,-84.5840322,1,93.4,6254,2156.55172413793,2.31,10.1,44.0,46.3,95.2,1.1,0.0,1.9,0.0,0.0,1.8,2.8,3.4,16.5,80.0,34661.0,7.6,2,0.319795330988168
21117064100,KY,Kenton County,,,1,96.9,5517,2758.5,2.88,2.8,33.9,48.3,90.8,1.2,0.1,6.8,0.0,0.0,1.1,0.0,11.1,35.1,53.8,27590.0,6.8,0,0
21117064200,KY,Kenton County,,,1,86.9,1517,842.777777777778,2.85,6.0,40.0,49.4,88.3,4.5,3.2,0.0,0.0,0.3,3.7,0.3,17.5,36.3,46.2,25605.0,11.9,0,0
21117064300,KY,Kenton County,,,1,89.2,3130,4471.42857142857,2.1,3.1,41.7,49.8,92.5,3.7,0.0,0.0,0.0,2.2,1.6,5.6,10.4,30.6,59.0,27224.0,12.0,0,0
21117064400,KY,Kenton County,39.0193785833333,-84.6013334666667,1,85.3,3574,2978.33333333333,2.48,8.5,32.4,52.8,75.9,8.5,0.0,3.8,0.0,5.0,6.9,8.0,11.6,37.2,51.2,22189.0,21.3,6,1.67879127028539
21117064500,KY,Kenton County,39.01717175,-84.5800325,1,97.4,3615,2126.47058823529,2.4,5.0,44.3,50.0,97.8,0.4,0.0,0.9,0.0,0.2,0.7,0.9,6.0,21.5,72.4,30222.0,8.6,4,1.10650069156293
21117064600,KY,Kenton County,,,1,88.9,5731,3581.875,2.17,2.5,37.6,44.3,86.6,3.8,0.0,4.1,0.1,3.5,2.0,5.8,5.4,29.4,65.2,33740.0,11.8,0,0
21117064700,KY,Kenton County,39.0443376,-84.5619333,1,96.9,5061,2300.45454545455,2.77,4.0,38.3,51.3,95.5,0.0,0.0,1.9,0.0,0.0,2.6,0.0,2.7,19.4,77.9,38818.0,3.3,2,0.395178818415333
