county,Latitude,Longitude,% Insured,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad or Higher,% Some College or Higher,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
31141,41.44551512,-97.38467198,91.1,32703,2.53,4.6,38.4,50.4,95.8,0.3,0.1,0.6,0,1.7,1.4,16.9,11,31.2,57.8,30100,8.7,2,0.061156469
31143,41.11411,-97.593956,90.9,5242,2.43,3.9,45.6,49.3,97.2,0.2,0.9,0.3,0,0.6,0.8,4.3,5.9,32.1,62,30673,8.1,1,0.190766883
31145,,,90.4,10884,2.29,5,41.5,50.8,97.1,1.6,0.3,0.3,0,0.1,0.5,4.8,6.5,35.3,58.2,23642,11.8,0,0
31147,,,93.1,8149,2.12,4.6,47.4,49.4,93.7,0.3,2.5,0.3,0,0.1,3.2,1.8,9,38.3,52.8,28296,18,0,0
31149,,,85,1407,1.95,1.6,52.4,48.9,96,0.3,0,0.2,0,1,2.5,0.7,7.5,43.6,48.9,27422,10.4,0,0
31151,40.6233106,-96.9478503,88.8,14356,2.6,3.4,36.6,50.4,90.4,0.8,0.1,3,0.1,4.2,1.5,23.3,16.4,34,49.6,25742,11.9,1,0.069657286
31153,41.15387538,-95.99971565,94,172460,2.72,3.7,33.9,50,88.6,4.1,0.4,2.3,0.1,1.3,3.3,8.4,4.6,21.9,73.5,35695,6.2,42,0.243534733
31155,41.04107,-96.36605,94.9,20946,2.59,2.9,41.1,50.3,97.4,0.2,0.2,0.2,0,0.3,1.6,2,6.9,31.5,61.5,31580,9.2,1,0.047741812
31157,41.87914256,-103.6666248,86.3,36599,2.46,5.3,39.6,48.3,93.3,0.8,1.1,0.7,0,2.2,1.9,22.8,13,29.5,57.6,24468,13.5,24,0.655755622
31159,40.9056692,-97.1091788,94,17113,2.47,3.5,38.1,50.8,96.2,0.5,0.1,0.6,0,1.3,1.3,2.3,7.2,29.4,63.4,26801,9,1,0.058435108
31161,,,85.1,5259,2.3,2.1,45.9,49.2,83.7,0.5,8.6,0.7,0.1,0.4,6,4.3,10.2,30.8,59.1,22465,16.8,0,0
31163,,,92.3,3090,2.22,2.2,49.7,49.3,98.4,0.7,0.1,0.3,0,0.5,0.1,1.9,7.5,42.5,49.9,24815,13.3,0,0
31165,,,89.4,1274,2.34,0,47.4,49.9,94.4,0.3,0,0.2,0,0,5,2.4,6,32.9,61.1,25570,11,0,0
31167,42.033024,-97.364365,90,6022,2.56,3.3,41.1,50.2,97.3,0.7,0,0.2,0,0.3,1.5,5.3,8.1,33.6,58.3,28679,9.5,1,0.166057788
31169,40.17015,-97.58307,94.3,5163,2.11,1.4,48.3,49.5,97.6,0.1,0.3,0,0,0.3,1.7,2.2,8.2,36.2,55.6,25934,12,1,0.193685842
31171,,,92.6,675,2.27,1.8,41.9,52.9,96.3,0,0.1,2.1,0,0.3,1.2,0.6,6.6,29.1,64.3,27404,9.6,0,0
31173,,,69.9,6989,3.31,15.3,28.4,49.5,40.2,0.1,57,0.5,0,0.5,1.7,4.7,13.4,33.3,53.4,21742,31.5,0,0
31175,,,90.1,4240,2.18,1.8,46.1,50.2,98.7,0.3,0.2,0,0,0,0.8,2.6,7.3,41.2,51.4,23837,12.8,0,0
31177,41.44921972,-96.02010548,94.4,20338,2.49,1.5,41.2,49.5,96.8,0.7,0.2,0.2,0,0.4,1.7,2.7,4.3,30.3,65.4,33545,9.2,1,0.049169043
31179,,,93.9,9414,2.28,2.3,30.7,51.1,95.3,3.3,0.3,0.4,0,0.6,0.2,5.4,5.1,22.4,72.5,22115,12.1,0,0
31181,,,89.4,3665,2.3,3,47.6,48.7,96.1,0.1,0,1.2,0,0.4,2.3,4.3,8.1,36.3,55.5,23333,10.4,0,0
31183,,,95,805,2.16,0.6,50,51.1,99.6,0,0,0.1,0,0,0.2,0,5,40.7,54.2,26792,5.1,0,0
31185,40.873077,-97.56968,92.3,13842,2.28,1.4,40.1,49.1,95.3,0.8,0.5,0.2,0,0.7,2.4,4.7,5.7,29.9,64.4,25622,9.4,1,0.072243895
32001,39.48120358,-118.7700671,84.1,24148,2.49,11.7,38.8,50.9,81.6,2.4,4.9,2.5,0.2,3.9,4.5,12.9,10.6,33.3,56.1,24617,16.3,2,0.082822594
32003,36.14476715,-115.1787424,83.1,2070153,2.78,9.6,36.7,50,62.7,11,0.6,9.4,0.7,10.6,4.9,30.4,15.1,28.9,56,27724,15,1484,0.716855228
32005,38.95187304,-119.8153644,87.9,47426,2.37,7.5,50.1,50.4,89.5,0.7,2.1,1.2,0.3,3.2,3.1,12,7,23.8,69.2,30224,10.9,10,0.210854805
