tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
44003022201,17.29,59.79,72.29,70.21,77.29,26.04,55.62,33.12,24.38,81.46,83.54,84.79,53.12,33.54,35.21,88.12,33.96,51.88,22.71
44003022202,15.63,23.54,85.21,12.71,23.54,22.29,80.21,14.38,13.13,67.71,93.54,44.38,89.38,42.71,41.46,68.96,22.71,48.54,72.29
44003022300,40.21,37.71,75.21,24.79,39.79,86.04,32.71,11.88,11.04,21.46,66.46,13.96,81.88,28.54,81.88,75.21,66.88,90.21,87.29
44003022400,11.04,67.29,35.21,74.79,46.04,41.04,50.62,51.04,35.21,58.54,52.71,39.38,36.04,62.71,9.38,66.04,26.46,61.46,28.54
44005040101,31.88,42.29,49.79,96.88,24.79,69.79,56.46,49.38,43.96,86.88,16.46,57.71,13.96,48.54,53.12,73.54,28.54,38.54,37.29
44005040102,10.21,40.21,59.79,96.46,43.54,48.54,84.38,26.88,23.54,66.46,33.12,18.54,5.63,31.46,51.46,41.46,65.62,88.54,16.46
44005040103,15.21,43.54,62.71,87.29,29.79,39.38,79.79,47.71,29.37,59.38,46.46,41.46,55.62,17.71,46.88,25.21,34.38,48.12,24.38
44005040200,62.71,16.04,95.21,94.38,96.88,77.71,94.79,87.71,37.29,70.62,64.79,0.63,96.88,77.29,63.96,86.04,43.12,21.88,56.46
44005040302,33.12,63.12,76.04,93.96,16.46,71.04,69.38,61.46,18.54,40.21,34.79,22.71,86.04,94.38,31.88,33.54,13.54,73.54,86.04
44005040303,67.29,64.38,91.88,91.88,70.62,11.88,74.38,77.71,68.12,53.12,36.46,6.46,87.29,40.62,96.46,5.21,50.21,66.46,89.38
44005040304,45.21,35.21,78.96,82.29,24.38,73.12,67.71,37.71,17.29,66.04,26.88,1.46,21.88,49.79,95.62,13.96,7.29,38.96,87.71
44005040400,16.04,58.54,71.88,92.29,13.13,28.12,86.04,64.79,15.63,77.71,25.63,27.71,33.54,54.38,22.29,23.54,56.46,75.62,9.38
44005040500,67.71,65.21,90.62,79.38,3.13,31.88,76.04,90.21,26.88,19.79,25.21,35.21,91.46,45.21,71.04,75.62,1.46,74.79,78.12
44005040600,59.79,76.04,89.79,97.29,20.63,51.04,71.46,41.46,34.79,2.29,74.79,88.96,75.62,93.96,70.21,55.62,30.21,69.79,91.46
44005040700,31.46,62.29,74.79,94.79,22.71,80.21,83.12,34.79,12.29,2.71,45.21,25.21,48.96,80.62,26.88,16.87,36.04,55.21,60.62
44005040800,52.71,68.12,91.46,89.38,5.21,77.29,70.21,21.04,4.79,44.38,57.29,52.71,88.96,60.62,41.88,8.96,40.62,75.21,84.38
44005040900,16.46,27.29,95.62,50.21,1.88,7.71,92.71,97.71,45.62,26.04,8.13,31.88,96.46,74.79,45.62,97.29,86.46,67.71,8.96
44005041000,45.62,66.88,96.46,95.21,6.04,92.71,17.29,55.21,20.63,10.62,68.12,86.88,88.54,50.62,61.04,18.54,11.88,33.54,51.88
44005041100,27.71,44.38,94.38,83.12,10.21,48.12,77.71,74.79,9.38,74.38,87.71,72.71,29.37,59.79,26.46,33.96,16.46,56.04,92.29
44005041200,77.71,95.62,86.46,99.79,99.79,98.96,1.04,83.12,19.79,64.38,82.29,97.71,97.29,9.79,65.21,1.88,68.12,91.04,22.29
44005041300,5.63,60.21,80.62,87.71,78.96,28.96,93.12,10.62,4.37,56.04,76.04,48.12,46.88,12.71,52.71,10.21,65.21,36.04,43.12
44005041400,3.13,77.71,81.88,96.04,6.88,79.38,96.46,24.79,83.54,71.04,38.54,26.46,11.46,10.21,29.79,20.21,41.04,37.71,36.88
44005041601,47.71,35.62,42.29,98.54,12.71,91.46,24.38,25.21,41.04,89.79,3.54,51.04,15.63,66.46,94.38,90.62,11.04,4.79,76.88
44005041602,19.79,28.96,56.46,93.12,4.37,41.88,84.79,13.54,39.79,83.96,37.71,41.88,36.88,44.38,48.54,14.79,23.12,70.21,33.54
